search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_child_weight,n_estimators,num_leaves
0,0,0.11096799550852274,0.022223075558985218,0.3328344777074653,0.011088255340943038,"{'bagging_fraction': np.float64(0.8148108212557728), 'bagging_freq': 25, 'feature_fraction': np.float64(0.4501395467228788), 'lambda_l1': np.float64(2.2264734869499936), 'lambda_l2': np.float64(2.342159915157), 'learning_rate': np.float64(1.2228055615939546), 'max_depth': 3, 'min_child_samples': 58, 'min_child_weight': np.float64(11.675602269904191), 'n_estimators': 206, 'num_leaves': 102}",0.8148108212557728,25,0.4501395467228788,2.2264734869499936,2.342159915157,1.2228055615939546,3,58,11.675602269904191,206,102
0,1,0.11802705484696559,0.019585191783306113,0.9415862661007395,0.06505968834885724,"{'bagging_fraction': np.float64(0.8325180448910974), 'bagging_freq': 6, 'feature_fraction': np.float64(0.6894363969886563), 'lambda_l1': np.float64(1.0942240952580444), 'lambda_l2': np.float64(1.0308460582175547), 'learning_rate': np.float64(1.5219272878581587), 'max_depth': 5, 'min_child_samples': 21, 'min_child_weight': np.float64(3.5748371457178707), 'n_estimators': 291, 'num_leaves': 101}",0.8325180448910974,6,0.6894363969886563,1.0942240952580444,1.0308460582175547,1.5219272878581587,5,21,3.5748371457178707,291,101
0,2,0.024364782707238256,0.018450356933336905,0.040436460793060784,0.03534482186124079,"{'bagging_fraction': np.float64(0.6501346547173765), 'bagging_freq': 16, 'feature_fraction': np.float64(0.5655732697950187), 'lambda_l1': np.float64(1.1274173267720764), 'lambda_l2': np.float64(1.1564311301038188), 'learning_rate': np.float64(1.8112594263866788), 'max_depth': 4, 'min_child_samples': 28, 'min_child_weight': np.float64(16.554331051252504), 'n_estimators': 129, 'num_leaves': 111}",0.6501346547173765,16,0.5655732697950187,1.1274173267720764,1.1564311301038188,1.8112594263866788,4,28,16.554331051252504,129,111
0,3,0.07244750581406487,0.042476306964924035,0.15398939386276683,0.10314693498957,"{'bagging_fraction': np.float64(0.7983785342673843), 'bagging_freq': 17, 'feature_fraction': np.float64(0.5890243136776618), 'lambda_l1': np.float64(1.183664693013222), 'lambda_l2': np.float64(2.471663152439489), 'learning_rate': np.float64(1.6480031767175278), 'max_depth': 4, 'min_child_samples': 45, 'min_child_weight': np.float64(16.410278941722126), 'n_estimators': 152, 'num_leaves': 96}",0.7983785342673843,17,0.5890243136776618,1.183664693013222,2.471663152439489,1.6480031767175278,4,45,16.410278941722126,152,96
0,4,0.11580212950361932,0.009320353839572103,0.7310871827498532,0.014517539691914959,"{'bagging_fraction': np.float64(0.7075404386693382), 'bagging_freq': 20, 'feature_fraction': np.float64(0.31712944955692174), 'lambda_l1': np.float64(1.6297897645464536), 'lambda_l2': np.float64(1.704736712938736), 'learning_rate': np.float64(1.2739679413056852), 'max_depth': 6, 'min_child_samples': 39, 'min_child_weight': np.float64(10.465403778121226), 'n_estimators': 164, 'num_leaves': 141}",0.7075404386693382,20,0.31712944955692174,1.6297897645464536,1.704736712938736,1.2739679413056852,6,39,10.465403778121226,164,141
0,5,0.0944403679085393,0.029671360595273505,0.43347455282629366,0.015362962336135058,"{'bagging_fraction': np.float64(0.5141215226067454), 'bagging_freq': 13, 'feature_fraction': np.float64(0.4205067629211684), 'lambda_l1': np.float64(2.594887738535606), 'lambda_l2': np.float64(2.4709376370077614), 'learning_rate': np.float64(1.0451237807533873), 'max_depth': 8, 'min_child_samples': 67, 'min_child_weight': np.float64(12.713699739648007), 'n_estimators': 106, 'num_leaves': 103}",0.5141215226067454,13,0.4205067629211684,2.594887738535606,2.4709376370077614,1.0451237807533873,8,67,12.713699739648007,106,103
0,6,0.08652738262129853,0.011801218775410433,0.9954134988111051,0.0006306465467378736,"{'bagging_fraction': np.float64(0.7540493697042853), 'bagging_freq': 6, 'feature_fraction': np.float64(0.38469521552847236), 'lambda_l1': np.float64(1.3602739031770132), 'lambda_l2': np.float64(2.5280033002556803), 'learning_rate': np.float64(0.9458774267545758), 'max_depth': 8, 'min_child_samples': 95, 'min_child_weight': np.float64(2.690790471644555), 'n_estimators': 294, 'num_leaves': 122}",0.7540493697042853,6,0.38469521552847236,1.3602739031770132,2.5280033002556803,0.9458774267545758,8,95,2.690790471644555,294,122
0,7,0.08795871940019276,0.011724682227107541,0.48507889350756306,0.013297140490067826,"{'bagging_fraction': np.float64(0.8281456184509264), 'bagging_freq': 12, 'feature_fraction': np.float64(0.34490374889178016), 'lambda_l1': np.float64(2.7731916653091804), 'lambda_l2': np.float64(0.9522185040144746), 'learning_rate': np.float64(1.1911424471279917), 'max_depth': 4, 'min_child_samples': 61, 'min_child_weight': np.float64(11.75468924601397), 'n_estimators': 152, 'num_leaves': 51}",0.8281456184509264,12,0.34490374889178016,2.7731916653091804,0.9522185040144746,1.1911424471279917,4,61,11.75468924601397,152,51
0,8,0.12169072001013506,0.013838469748722493,0.7298746211226929,0.05257224378893158,"{'bagging_fraction': np.float64(0.7558567189053014), 'bagging_freq': 9, 'feature_fraction': np.float64(0.5574908858609009), 'lambda_l1': np.float64(1.0922294623906903), 'lambda_l2': np.float64(2.366855234632052), 'learning_rate': np.float64(1.259370457999193), 'max_depth': 7, 'min_child_samples': 21, 'min_child_weight': np.float64(17.66220714735527), 'n_estimators': 180, 'num_leaves': 131}",0.7558567189053014,9,0.5574908858609009,1.0922294623906903,2.366855234632052,1.259370457999193,7,21,17.66220714735527,180,131
0,9,0.09866051800277334,0.01455863752112971,0.8026179442347618,0.08657422429648919,"{'bagging_fraction': np.float64(0.6863190842754778), 'bagging_freq': 20, 'feature_fraction': np.float64(0.5130636539233683), 'lambda_l1': np.float64(2.088810835612221), 'lambda_l2': np.float64(1.513141044572832), 'learning_rate': np.float64(1.588929707463555), 'max_depth': 9, 'min_child_samples': 85, 'min_child_weight': np.float64(5.642911383976736), 'n_estimators': 209, 'num_leaves': 76}",0.6863190842754778,20,0.5130636539233683,2.088810835612221,1.513141044572832,1.588929707463555,9,85,5.642911383976736,209,76
0,10,0.09196389621613854,0.011554706287099285,0.8356950248746629,0.013283524846527402,"{'bagging_fraction': np.float64(0.5533425599124079), 'bagging_freq': 23, 'feature_fraction': np.float64(0.45899223247150667), 'lambda_l1': np.float64(1.2042209129927683), 'lambda_l2': np.float64(1.0587061369403612), 'learning_rate': np.float64(0.8531377710823616), 'max_depth': 10, 'min_child_samples': 46, 'min_child_weight': np.float64(8.950145004019857), 'n_estimators': 250, 'num_leaves': 89}",0.5533425599124079,23,0.45899223247150667,1.2042209129927683,1.0587061369403612,0.8531377710823616,10,46,8.950145004019857,250,89
0,11,0.059075721280061125,0.029736542803076336,0.16112871602651652,0.1583132952986995,"{'bagging_fraction': np.float64(0.6107917533545418), 'bagging_freq': 28, 'feature_fraction': np.float64(0.7667329646414575), 'lambda_l1': np.float64(0.8304241580890153), 'lambda_l2': np.float64(2.424052921697645), 'learning_rate': np.float64(1.3920919800953597), 'max_depth': 3, 'min_child_samples': 68, 'min_child_weight': np.float64(13.808362739135973), 'n_estimators': 172, 'num_leaves': 54}",0.6107917533545418,28,0.7667329646414575,0.8304241580890153,2.424052921697645,1.3920919800953597,3,68,13.808362739135973,172,54
0,12,0.06440542043217452,0.03957141770617251,0.3056591630556792,0.1538971857950653,"{'bagging_fraction': np.float64(0.8823088151065082), 'bagging_freq': 21, 'feature_fraction': np.float64(0.7366252167448208), 'lambda_l1': np.float64(2.3422271257891), 'lambda_l2': np.float64(2.4957467480584388), 'learning_rate': np.float64(1.1022727830998726), 'max_depth': 3, 'min_child_samples': 33, 'min_child_weight': np.float64(19.873377221763178), 'n_estimators': 244, 'num_leaves': 94}",0.8823088151065082,21,0.7366252167448208,2.3422271257891,2.4957467480584388,1.1022727830998726,3,33,19.873377221763178,244,94
0,13,0.10728230775893943,0.0201935359909249,0.9933877634709825,0.005366272181098183,"{'bagging_fraction': np.float64(0.8165983476890812), 'bagging_freq': 11, 'feature_fraction': np.float64(0.6262887107620663), 'lambda_l1': np.float64(0.5878192569713163), 'lambda_l2': np.float64(2.335056747715158), 'learning_rate': np.float64(1.7627355204857094), 'max_depth': 11, 'min_child_samples': 28, 'min_child_weight': np.float64(0.933968321401064), 'n_estimators': 267, 'num_leaves': 87}",0.8165983476890812,11,0.6262887107620663,0.5878192569713163,2.335056747715158,1.7627355204857094,11,28,0.933968321401064,267,87
0,14,0.0629909899857278,0.01781025453759717,0.16188462609761384,0.013267407113700537,"{'bagging_fraction': np.float64(0.41009532387772263), 'bagging_freq': 7, 'feature_fraction': np.float64(0.626547251205912), 'lambda_l1': np.float64(2.2267830349722724), 'lambda_l2': np.float64(1.965453301307464), 'learning_rate': np.float64(0.7489547965466639), 'max_depth': 3, 'min_child_samples': 60, 'min_child_weight': np.float64(7.876793936653742), 'n_estimators': 110, 'num_leaves': 89}",0.41009532387772263,7,0.626547251205912,2.2267830349722724,1.965453301307464,0.7489547965466639,3,60,7.876793936653742,110,89
0,15,0.06871503569019836,0.012658467678271218,0.9565085883119304,0.0037006698912633246,"{'bagging_fraction': np.float64(0.9292848350446948), 'bagging_freq': 12, 'feature_fraction': np.float64(0.5314372934984692), 'lambda_l1': np.float64(2.479313422809359), 'lambda_l2': np.float64(0.878825278664256), 'learning_rate': np.float64(0.8369790785800079), 'max_depth': 11, 'min_child_samples': 72, 'min_child_weight': np.float64(11.306955398700975), 'n_estimators': 199, 'num_leaves': 83}",0.9292848350446948,12,0.5314372934984692,2.479313422809359,0.878825278664256,0.8369790785800079,11,72,11.306955398700975,199,83
0,16,0.09185955849513439,0.0148392529448604,0.7451406464653174,0.045703641396940387,"{'bagging_fraction': np.float64(0.6270743677796591), 'bagging_freq': 17, 'feature_fraction': np.float64(0.4751514466020586), 'lambda_l1': np.float64(1.631046047522613), 'lambda_l2': np.float64(1.0568823815836998), 'learning_rate': np.float64(1.8781592888090741), 'max_depth': 10, 'min_child_samples': 97, 'min_child_weight': np.float64(0.20751713617892512), 'n_estimators': 158, 'num_leaves': 76}",0.6270743677796591,17,0.4751514466020586,1.631046047522613,1.0568823815836998,1.8781592888090741,10,97,0.20751713617892512,158,76
0,17,0.11080057484267884,0.017525401918631223,0.7103443162494673,0.1239252278892533,"{'bagging_fraction': np.float64(0.646762935529049), 'bagging_freq': 19, 'feature_fraction': np.float64(0.5549669981892908), 'lambda_l1': np.float64(2.046685046233035), 'lambda_l2': np.float64(2.2863806175184185), 'learning_rate': np.float64(1.588414175092202), 'max_depth': 10, 'min_child_samples': 97, 'min_child_weight': np.float64(9.657851202704792), 'n_estimators': 286, 'num_leaves': 130}",0.646762935529049,19,0.5549669981892908,2.046685046233035,2.2863806175184185,1.588414175092202,10,97,9.657851202704792,286,130
0,18,0.11586791391360762,0.019465427741378497,0.9300793837213751,0.00623719407052509,"{'bagging_fraction': np.float64(0.9019361657072567), 'bagging_freq': 29, 'feature_fraction': np.float64(0.42795042711039916), 'lambda_l1': np.float64(1.7887880455340428), 'lambda_l2': np.float64(1.3139745171726287), 'learning_rate': np.float64(1.3367477610210585), 'max_depth': 9, 'min_child_samples': 64, 'min_child_weight': np.float64(19.53926106966229), 'n_estimators': 279, 'num_leaves': 94}",0.9019361657072567,29,0.42795042711039916,1.7887880455340428,1.3139745171726287,1.3367477610210585,9,64,19.53926106966229,279,94
0,19,0.10262649004363107,0.016614785159384617,0.41530781567315483,0.03077861534952457,"{'bagging_fraction': np.float64(0.4303214567737656), 'bagging_freq': 22, 'feature_fraction': np.float64(0.4548307446156779), 'lambda_l1': np.float64(2.8739701807542444), 'lambda_l2': np.float64(0.8404321372091181), 'learning_rate': np.float64(1.2016870259927424), 'max_depth': 11, 'min_child_samples': 80, 'min_child_weight': np.float64(13.569200474886273), 'n_estimators': 171, 'num_leaves': 148}",0.4303214567737656,22,0.4548307446156779,2.8739701807542444,0.8404321372091181,1.2016870259927424,11,80,13.569200474886273,171,148
1,0,0.10123214348414247,0.029305521419450302,0.5388348696332388,0.08974974147961658,"{'bagging_fraction': np.float64(0.5148856273258738), 'bagging_freq': 24, 'feature_fraction': np.float64(0.5606710650810377), 'lambda_l1': np.float64(2.3419184074813044), 'lambda_l2': np.float64(0.5642720433092727), 'learning_rate': np.float64(1.507689594881533), 'max_depth': 5, 'min_child_samples': 74, 'min_child_weight': np.float64(4.89685883336586), 'n_estimators': 277, 'num_leaves': 121}",0.5148856273258738,24,0.5606710650810377,2.3419184074813044,0.5642720433092727,1.507689594881533,5,74,4.89685883336586,277,121
