search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,learning_rate,n_epochs,prototypes_per_class
0,0,0.5061642370018469,0.04517989320226735,0.7438252431427432,0.01591310783089658,"{'learning_rate': np.float64(0.02111896057424284), 'n_epochs': 737, 'prototypes_per_class': 91}",0.02111896057424284,737,91
0,1,0.5142703606505535,0.03835860260812837,0.7482848403751952,0.017848254670972386,"{'learning_rate': np.float64(0.004716581086560967), 'n_epochs': 171, 'prototypes_per_class': 95}",0.004716581086560967,171,95
0,2,0.4950720965106945,0.007755951274988695,0.7302982083169494,0.01076323166543485,"{'learning_rate': np.float64(0.005420584373571497), 'n_epochs': 749, 'prototypes_per_class': 78}",0.005420584373571497,749,78
0,3,0.5085300688977812,0.029524263427974626,0.7156761609829209,0.010153406507726975,"{'learning_rate': np.float64(0.005441791874857919), 'n_epochs': 495, 'prototypes_per_class': 71}",0.005441791874857919,495,71
0,4,0.5124083227279609,0.031804153711902254,0.729386792211691,0.0157362150388983,"{'learning_rate': np.float64(0.012094417897246105), 'n_epochs': 794, 'prototypes_per_class': 77}",0.012094417897246105,794,77
1,0,0.4978809638696317,0.020346227999228497,0.7376872885178745,0.016650371870566907,"{'learning_rate': np.float64(0.05843240923487854), 'n_epochs': 827, 'prototypes_per_class': 90}",0.05843240923487854,827,90
1,1,0.513496087019055,0.025474279860814908,0.6761147386406648,0.009079585360214928,"{'learning_rate': np.float64(0.006664227348700536), 'n_epochs': 454, 'prototypes_per_class': 50}",0.006664227348700536,454,50
1,2,0.501968390300364,0.03554859942108015,0.7046825115213956,0.013401618991391357,"{'learning_rate': np.float64(0.0030380977487225003), 'n_epochs': 798, 'prototypes_per_class': 60}",0.0030380977487225003,798,60
1,3,0.48626260759437184,0.0255520610829431,0.6980927550578158,0.020032990639998426,"{'learning_rate': np.float64(0.017685484104730777), 'n_epochs': 532, 'prototypes_per_class': 65}",0.017685484104730777,532,65
1,4,0.5064997745311219,0.030114740741321682,0.7427456261569201,0.011185469917171452,"{'learning_rate': np.float64(0.014557383691691976), 'n_epochs': 608, 'prototypes_per_class': 86}",0.014557383691691976,608,86
2,0,0.4952056376065671,0.01851808490760392,0.6771331097314304,0.014512684625055396,"{'learning_rate': np.float64(0.014874328918363782), 'n_epochs': 500, 'prototypes_per_class': 50}",0.014874328918363782,500,50
2,1,0.4890217097968632,0.02026260697116548,0.7447118887513634,0.011404291770887847,"{'learning_rate': np.float64(0.001792696248772903), 'n_epochs': 379, 'prototypes_per_class': 97}",0.001792696248772903,379,97
2,2,0.4836215867266606,0.02939128372677526,0.7084085699381364,0.017728476223010204,"{'learning_rate': np.float64(0.08388307265940409), 'n_epochs': 286, 'prototypes_per_class': 82}",0.08388307265940409,286,82
2,3,0.5026536249218243,0.022928542100155196,0.7164388428043684,0.009595957710367847,"{'learning_rate': np.float64(0.004910167075664869), 'n_epochs': 610, 'prototypes_per_class': 65}",0.004910167075664869,610,65
2,4,0.5057451050894336,0.036136727656941564,0.7681165735420207,0.0073979664731700255,"{'learning_rate': np.float64(0.010561861711826692), 'n_epochs': 546, 'prototypes_per_class': 98}",0.010561861711826692,546,98
3,0,0.49973440278414916,0.013942517448927036,0.691471525594918,0.007447971366332962,"{'learning_rate': np.float64(0.0048679312224967535), 'n_epochs': 415, 'prototypes_per_class': 56}",0.0048679312224967535,415,56
3,1,0.46969314994229927,0.04020629054933958,0.689482776546426,0.013136885670708535,"{'learning_rate': np.float64(0.08401761680835615), 'n_epochs': 442, 'prototypes_per_class': 70}",0.08401761680835615,442,70
3,2,0.5073808098515362,0.030358894883693935,0.7490757820310454,0.011920808893017422,"{'learning_rate': np.float64(0.0030678527638630156), 'n_epochs': 920, 'prototypes_per_class': 92}",0.0030678527638630156,920,92
3,3,0.48792266813602014,0.01758689100309635,0.7333745983162834,0.012712601723999297,"{'learning_rate': np.float64(0.0018585981009911843), 'n_epochs': 720, 'prototypes_per_class': 80}",0.0018585981009911843,720,80
3,4,0.5049542409439504,0.020562336412049274,0.728861258971456,0.01529636629281738,"{'learning_rate': np.float64(0.008728657933559557), 'n_epochs': 422, 'prototypes_per_class': 78}",0.008728657933559557,422,78
