search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,max_depth,min_samples_leaf,min_samples_split,n_estimators
0,0,0.5447801785141223,0.012322449553744853,0.7282447591054667,0.007969061954445033,"{'max_depth': 35, 'min_samples_leaf': 6, 'min_samples_split': 15, 'n_estimators': 92}",35,6,15,92
0,1,0.5563983959419992,0.010153699187594713,0.8186546583133463,0.0021002977872019435,"{'max_depth': 41, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 19}",41,1,16,19
0,2,0.5453295959099735,0.014724210470005666,0.7309434885058571,0.0027654595159847827,"{'max_depth': 11, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 58}",11,3,13,58
0,3,0.5462013070125926,0.012550077323118244,0.7485286081497834,0.007741089628865744,"{'max_depth': 48, 'min_samples_leaf': 6, 'min_samples_split': 11, 'n_estimators': 168}",48,6,11,168
0,4,0.5398540344370814,0.013801842447007743,0.6846242226151574,0.006793498975506108,"{'max_depth': 45, 'min_samples_leaf': 8, 'min_samples_split': 17, 'n_estimators': 299}",45,8,17,299
0,5,0.5586505641294025,0.00559773621422805,0.8197998531851278,0.003221565817803873,"{'max_depth': 18, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 275}",18,1,16,275
0,6,0.5504371939026595,0.012265564649934071,0.7616750239788589,0.006544993643025871,"{'max_depth': 42, 'min_samples_leaf': 3, 'min_samples_split': 17, 'n_estimators': 177}",42,3,17,177
0,7,0.5466197708285788,0.018060903657816266,0.7037974937584354,0.0097898191365575,"{'max_depth': 36, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 130}",36,6,18,130
0,8,0.5708538155317457,0.003846863539978047,0.9584512984861581,0.0026247664568684395,"{'max_depth': 41, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 204}",41,1,7,204
0,9,0.5487921737337166,0.011553284614915699,0.7691770342734899,0.005992101923405026,"{'max_depth': 14, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 155}",14,5,3,155
0,10,0.5340611222170233,0.014257520595332975,0.6487926076883186,0.009498069471830623,"{'max_depth': 11, 'min_samples_leaf': 9, 'min_samples_split': 13, 'n_estimators': 287}",11,9,13,287
0,11,0.5390500760002224,0.0161687000214626,0.6889308007723686,0.007064115243656498,"{'max_depth': 23, 'min_samples_leaf': 8, 'min_samples_split': 9, 'n_estimators': 252}",23,8,9,252
0,12,0.5676193495404992,0.01064450030675796,0.9268757791607249,0.0040668039033722354,"{'max_depth': 31, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 182}",31,2,7,182
0,13,0.5572737801163484,0.005866933865022117,0.806053477574196,0.00585371883277457,"{'max_depth': 25, 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 236}",25,2,15,236
0,14,0.5365885563062438,0.014711413430350699,0.6673182574345532,0.006716076698283854,"{'max_depth': 22, 'min_samples_leaf': 9, 'min_samples_split': 13, 'n_estimators': 183}",22,9,13,183
0,15,0.5310503630002874,0.014021302856245553,0.6248302818307228,0.006177265986209888,"{'max_depth': 9, 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 129}",9,9,4,129
0,16,0.5514056595223676,0.01340279991036788,0.7915440903979769,0.008023755474704413,"{'max_depth': 31, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 124}",31,5,2,124
0,17,0.5517111361232956,0.012461253355029489,0.7814373489280032,0.006098052540756039,"{'max_depth': 16, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 260}",16,5,4,260
0,18,0.5512593534270157,0.01063084594428731,0.7908439241205385,0.008734182262725656,"{'max_depth': 41, 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 278}",41,5,9,278
0,19,0.5571139054455083,0.01353190701609949,0.8483505545091035,0.005607081717667678,"{'max_depth': 41, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 204}",41,3,10,204
0,20,0.5574432124965334,0.015813652830886944,0.8023664177251322,0.007315438849554635,"{'max_depth': 22, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 61}",22,4,11,61
0,21,0.5387382601332898,0.013927708297652315,0.6674291544268968,0.008675540223455422,"{'max_depth': 44, 'min_samples_leaf': 9, 'min_samples_split': 3, 'n_estimators': 210}",44,9,3,210
0,22,0.5487843659783588,0.007104729757153421,0.7507854658630416,0.008780587131160842,"{'max_depth': 44, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 84}",44,6,4,84
0,23,0.5531507646490281,0.012186752816841732,0.7189886427119789,0.007592890993165124,"{'max_depth': 27, 'min_samples_leaf': 5, 'min_samples_split': 18, 'n_estimators': 65}",27,5,18,65
0,24,0.5589339472986798,0.013351165367635065,0.8441198266297747,0.006019954056283525,"{'max_depth': 24, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 277}",24,4,6,277
0,25,0.5419851506433737,0.015017416560943868,0.7630202148574304,0.006132845299769052,"{'max_depth': 44, 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 37}",44,4,15,37
0,26,0.5418036927013606,0.019327319658031163,0.6906754043407817,0.007822945962996212,"{'max_depth': 37, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 201}",37,8,10,201
0,27,0.5764333139711273,0.007596003221131369,0.977699435697908,0.001468922639751882,"{'max_depth': 38, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 257}",38,2,2,257
0,28,0.5516712849097651,0.012754244222653054,0.7323084072403703,0.008095784276611164,"{'max_depth': 49, 'min_samples_leaf': 4, 'min_samples_split': 18, 'n_estimators': 113}",49,4,18,113
0,29,0.5406967692940545,0.019165915084522006,0.6840291858759064,0.007287928230723964,"{'max_depth': 46, 'min_samples_leaf': 8, 'min_samples_split': 17, 'n_estimators': 58}",46,8,17,58
0,30,0.5294991915618648,0.016083804719667635,0.6617283719784195,0.00539340267957347,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 71}",8,2,6,71
0,31,0.5163234833631406,0.014315873472487648,0.5349024299809406,0.0032755757369156554,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 18, 'n_estimators': 251}",5,3,18,251
0,32,0.5457470324687839,0.01828776713404899,0.7101934608131703,0.007977120581740693,"{'max_depth': 29, 'min_samples_leaf': 5, 'min_samples_split': 19, 'n_estimators': 267}",29,5,19,267
0,33,0.5442424482248823,0.015721933056214454,0.7146494849396012,0.005529895706937896,"{'max_depth': 23, 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 284}",23,7,11,284
0,34,0.5386780713705941,0.01978368152637958,0.6666976425963881,0.010035663267630028,"{'max_depth': 17, 'min_samples_leaf': 9, 'min_samples_split': 11, 'n_estimators': 269}",17,9,11,269
0,35,0.5228040380650741,0.015385739152726683,0.559186291717357,0.002832762896647188,"{'max_depth': 6, 'min_samples_leaf': 7, 'min_samples_split': 4, 'n_estimators': 119}",6,7,4,119
0,36,0.56154769443026,0.007760458808156966,0.9070712407894284,0.002809678260622479,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 48}",25,1,10,48
0,37,0.5609465648106267,0.013724079768855308,0.9051813633230898,0.003101790862603342,"{'max_depth': 38, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 52}",38,2,8,52
0,38,0.5384949972236487,0.012207179481920448,0.753911279905508,0.004530956886927928,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 74}",10,1,8,74
0,39,0.560011918662912,0.012324357323980099,0.8371538398415057,0.005092142774050254,"{'max_depth': 18, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 255}",18,4,2,255
0,40,0.5493259239924482,0.015177085139470444,0.7916030422008795,0.00784091673895714,"{'max_depth': 23, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 192}",23,5,8,192
0,41,0.5568605435987457,0.016012009743079803,0.8484798883880247,0.005403971959232829,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 22}",20,3,9,22
0,42,0.5662325149730257,0.011977117791935867,0.9250470866583708,0.00398358262721175,"{'max_depth': 46, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 94}",46,2,7,94
0,43,0.5407868931560673,0.013672521564505985,0.667303276369236,0.008022420569094755,"{'max_depth': 40, 'min_samples_leaf': 9, 'min_samples_split': 17, 'n_estimators': 215}",40,9,17,215
