search_idx,best_score,best_params,cv_results
0,0.0625,"{'C': np.float64(156.09452033620263), 'gamma': np.float64(71.4718144238042), 'kernel': 'poly'}","{'mean_fit_time': array([1.10445499e-02, 2.15355642e+02, 1.86355352e-01, 7.29060173e-03,
       6.87248707e-02]), 'std_fit_time': array([3.80014611e-03, 4.53854110e+01, 1.08220092e-01, 6.96941739e-04,
       9.52795944e-03]), 'mean_score_time': array([0.02579207, 0.00496602, 0.0082993 , 0.0089251 , 0.03873415]), 'std_score_time': array([0.02516291, 0.00187312, 0.00101137, 0.00202053, 0.00312759]), 'param_C': masked_array(data=[374.6401188473625, 598.7584841970366,
                   156.09452033620263, 866.2761457749352,
                   708.1725777960455],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=[71.4718144238042, 36.45056830322477, 71.4718144238042,
                   82.59271635562955, 92.5863400409626],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_kernel': masked_array(data=['sigmoid', 'linear', 'poly', 'sigmoid', 'rbf'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(374.6401188473625), 'gamma': np.float64(71.4718144238042), 'kernel': 'sigmoid'}, {'C': np.float64(598.7584841970366), 'gamma': np.float64(36.45056830322477), 'kernel': 'linear'}, {'C': np.float64(156.09452033620263), 'gamma': np.float64(71.4718144238042), 'kernel': 'poly'}, {'C': np.float64(866.2761457749352), 'gamma': np.float64(82.59271635562955), 'kernel': 'sigmoid'}, {'C': np.float64(708.1725777960455), 'gamma': np.float64(92.5863400409626), 'kernel': 'rbf'}], 'split0_test_score': array([0.  , 0.  , 0.25, 0.  , 0.  ]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0.28571429, 0.        , 0.0625    , 0.28571429, 0.        ]), 'mean_test_score': array([0.05714286, 0.        , 0.0625    , 0.05714286, 0.        ]), 'std_test_score': array([0.11428571, 0.        , 0.09682458, 0.11428571, 0.        ]), 'rank_test_score': array([2, 4, 1, 2, 4], dtype=int32), 'split0_train_score': array([0., 0., 1., 0., 1.]), 'split1_train_score': array([0., 0., 1., 0., 1.]), 'split2_train_score': array([0., 0., 1., 0., 1.]), 'split3_train_score': array([0., 0., 1., 0., 1.]), 'split4_train_score': array([0., 0., 1., 0., 1.]), 'mean_train_score': array([0., 0., 1., 0., 1.]), 'std_train_score': array([0., 0., 0., 0., 0.])}"
1,0.1476190476190476,"{'C': np.float64(45.152860238866566), 'gamma': 'scale', 'kernel': 'sigmoid'}","{'mean_fit_time': array([3.88721142e+00, 2.95796145e+01, 9.48243141e-02, 5.46631813e-03,
       4.04667854e-03]), 'std_fit_time': array([3.39481214e+00, 2.67018535e+01, 6.48603827e-02, 3.30293454e-03,
       2.87968233e-04]), 'mean_score_time': array([0.00449681, 0.00375509, 0.00419984, 0.00365701, 0.00403137]), 'std_score_time': array([9.13897469e-04, 1.00023496e-03, 8.44129976e-04, 8.62285347e-05,
       7.31748738e-04]), 'param_C': masked_array(data=[115.15456638977895, 148.87272576532973,
                   811.1363919968717, 45.152860238866566,
                   594.9285738658033],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=['auto', np.float64(82.59271635562955),
                   np.float64(87.5801368915047), 'scale',
                   np.float64(20.38765783620007)],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'param_kernel': masked_array(data=['linear', 'linear', 'poly', 'sigmoid', 'sigmoid'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(115.15456638977895), 'gamma': 'auto', 'kernel': 'linear'}, {'C': np.float64(148.87272576532973), 'gamma': np.float64(82.59271635562955), 'kernel': 'linear'}, {'C': np.float64(811.1363919968717), 'gamma': np.float64(87.5801368915047), 'kernel': 'poly'}, {'C': np.float64(45.152860238866566), 'gamma': 'scale', 'kernel': 'sigmoid'}, {'C': np.float64(594.9285738658033), 'gamma': np.float64(20.38765783620007), 'kernel': 'sigmoid'}], 'split0_test_score': array([0.  , 0.  , 0.25, 0.  , 0.  ]), 'split1_test_score': array([0.        , 0.        , 0.        , 0.        , 0.33333333]), 'split2_test_score': array([0.        , 0.        , 0.        , 0.28571429, 0.25      ]), 'split3_test_score': array([0.        , 0.        , 0.        , 0.16666667, 0.        ]), 'split4_test_score': array([0.        , 0.        , 0.0625    , 0.28571429, 0.        ]), 'mean_test_score': array([0.        , 0.        , 0.0625    , 0.14761905, 0.11666667]), 'std_test_score': array([0.        , 0.        , 0.09682458, 0.12812975, 0.14529663]), 'rank_test_score': array([4, 4, 3, 1, 2], dtype=int32), 'split0_train_score': array([0.        , 0.        , 1.        , 0.11764706, 0.        ]), 'split1_train_score': array([0.        , 0.        , 1.        , 0.11764706, 0.        ]), 'split2_train_score': array([0.        , 0.        , 1.        , 0.0625    , 0.06896552]), 'split3_train_score': array([0.    , 0.    , 1.    , 0.0625, 0.    ]), 'split4_train_score': array([0., 0., 1., 0., 0.]), 'mean_train_score': array([0.        , 0.        , 1.        , 0.07205882, 0.0137931 ]), 'std_train_score': array([0.        , 0.        , 0.        , 0.04366186, 0.02758621])}"
2,0.05,"{'C': np.float64(510.00240958960643), 'gamma': np.float64(82.59271635562955), 'kernel': 'sigmoid'}","{'mean_fit_time': array([2.46717873e+02, 6.44483566e-03, 3.33170891e-02, 1.66209572e+02,
       4.44350243e-03]), 'std_fit_time': array([7.94064365e+01, 2.00830124e-04, 5.71196262e-03, 3.88833504e+01,
       1.74396931e-04]), 'mean_score_time': array([0.00451732, 0.00420671, 0.01830711, 0.00566306, 0.00488153]), 'std_score_time': array([0.00187233, 0.00060229, 0.00410411, 0.00158176, 0.00020599]), 'param_C': masked_array(data=[834.9421486656495, 744.7404816795179,
                   359.41083780807196, 393.8795510882514,
                   510.00240958960643],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=['auto', 'scale', np.float64(71.4718144238042),
                   np.float64(36.45056830322477),
                   np.float64(82.59271635562955)],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'param_kernel': masked_array(data=['linear', 'rbf', 'rbf', 'linear', 'sigmoid'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(834.9421486656495), 'gamma': 'auto', 'kernel': 'linear'}, {'C': np.float64(744.7404816795179), 'gamma': 'scale', 'kernel': 'rbf'}, {'C': np.float64(359.41083780807196), 'gamma': np.float64(71.4718144238042), 'kernel': 'rbf'}, {'C': np.float64(393.8795510882514), 'gamma': np.float64(36.45056830322477), 'kernel': 'linear'}, {'C': np.float64(510.00240958960643), 'gamma': np.float64(82.59271635562955), 'kernel': 'sigmoid'}], 'split0_test_score': array([0., 0., 0., 0., 0.]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0.  , 0.  , 0.  , 0.  , 0.25]), 'mean_test_score': array([0.  , 0.  , 0.  , 0.  , 0.05]), 'std_test_score': array([0. , 0. , 0. , 0. , 0.1]), 'rank_test_score': array([2, 2, 2, 2, 1], dtype=int32), 'split0_train_score': array([0., 1., 1., 0., 0.]), 'split1_train_score': array([0.        , 0.97142857, 1.        , 0.        , 0.        ]), 'split2_train_score': array([0.        , 0.96969697, 1.        , 0.        , 0.        ]), 'split3_train_score': array([0.        , 0.96969697, 1.        , 0.        , 0.        ]), 'split4_train_score': array([0.        , 0.97142857, 1.        , 0.        , 0.        ]), 'mean_train_score': array([0.        , 0.97645022, 1.        , 0.        , 0.        ]), 'std_train_score': array([0.        , 0.01180033, 0.        , 0.        , 0.        ])}"
3,0.0625,"{'C': np.float64(57.33759254359961), 'gamma': np.float64(54.84456796631082), 'kernel': 'poly'}","{'mean_fit_time': array([4.20645714e-02, 2.21623898e-02, 4.79340553e-03, 1.72279007e+02,
       1.03854465e-01]), 'std_fit_time': array([4.88119532e-03, 3.07505813e-02, 1.21158490e-03, 6.83625216e+01,
       6.36396459e-02]), 'mean_score_time': array([0.02773204, 0.00417757, 0.00403552, 0.00431533, 0.00590925]), 'std_score_time': array([0.00933801, 0.0011013 , 0.00110302, 0.00126635, 0.00131413]), 'param_C': masked_array(data=[989.1115134756002, 281.5473019550629,
                   914.7405642688867, 719.7771067628596,
                   57.33759254359961],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=[82.59271635562955, 92.5863400409626,
                   29.739875792037697, 92.5863400409626,
                   54.84456796631082],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_kernel': masked_array(data=['rbf', 'sigmoid', 'sigmoid', 'linear', 'poly'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(989.1115134756002), 'gamma': np.float64(82.59271635562955), 'kernel': 'rbf'}, {'C': np.float64(281.5473019550629), 'gamma': np.float64(92.5863400409626), 'kernel': 'sigmoid'}, {'C': np.float64(914.7405642688867), 'gamma': np.float64(29.739875792037697), 'kernel': 'sigmoid'}, {'C': np.float64(719.7771067628596), 'gamma': np.float64(92.5863400409626), 'kernel': 'linear'}, {'C': np.float64(57.33759254359961), 'gamma': np.float64(54.84456796631082), 'kernel': 'poly'}], 'split0_test_score': array([0.  , 0.  , 0.  , 0.  , 0.25]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0.  , 0.  , 0.25, 0.  , 0.  ]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0.    , 0.25  , 0.    , 0.    , 0.0625]), 'mean_test_score': array([0.    , 0.05  , 0.05  , 0.    , 0.0625]), 'std_test_score': array([0.        , 0.1       , 0.1       , 0.        , 0.09682458]), 'rank_test_score': array([4, 2, 2, 4, 1], dtype=int32), 'split0_train_score': array([1., 0., 0., 0., 1.]), 'split1_train_score': array([1.        , 0.        , 0.05714286, 0.        , 1.        ]), 'split2_train_score': array([1.        , 0.        , 0.06896552, 0.        , 1.        ]), 'split3_train_score': array([1.        , 0.        , 0.05882353, 0.        , 1.        ]), 'split4_train_score': array([1., 0., 0., 0., 1.]), 'mean_train_score': array([1.        , 0.        , 0.03698638, 0.        , 1.        ]), 'std_train_score': array([0.        , 0.        , 0.03046898, 0.        , 0.        ])}"
4,0.0625,"{'C': np.float64(912.8222899351977), 'gamma': np.float64(36.45056830322477), 'kernel': 'poly'}","{'mean_fit_time': array([0.07840986, 0.0072329 , 0.06157269, 0.06292748, 0.1379962 ]), 'std_fit_time': array([0.01388999, 0.00151996, 0.00880195, 0.00296064, 0.09916279]), 'mean_score_time': array([0.04873385, 0.0065093 , 0.03767867, 0.03581986, 0.00880175]), 'std_score_time': array([0.01888081, 0.00034071, 0.00664292, 0.00352416, 0.0015429 ]), 'param_C': masked_array(data=[783.9323508057506, 249.14309151574886,
                   313.17693563167984, 42.96544835226391,
                   912.8222899351977],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=[29.739875792037697, 87.5801368915047,
                   20.38765783620007, 29.739875792037697,
                   36.45056830322477],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_kernel': masked_array(data=['rbf', 'sigmoid', 'rbf', 'rbf', 'poly'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(783.9323508057506), 'gamma': np.float64(29.739875792037697), 'kernel': 'rbf'}, {'C': np.float64(249.14309151574886), 'gamma': np.float64(87.5801368915047), 'kernel': 'sigmoid'}, {'C': np.float64(313.17693563167984), 'gamma': np.float64(20.38765783620007), 'kernel': 'rbf'}, {'C': np.float64(42.96544835226391), 'gamma': np.float64(29.739875792037697), 'kernel': 'rbf'}, {'C': np.float64(912.8222899351977), 'gamma': np.float64(36.45056830322477), 'kernel': 'poly'}], 'split0_test_score': array([0.  , 0.  , 0.  , 0.  , 0.25]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0.    , 0.25  , 0.    , 0.    , 0.0625]), 'mean_test_score': array([0.    , 0.05  , 0.    , 0.    , 0.0625]), 'std_test_score': array([0.        , 0.1       , 0.        , 0.        , 0.09682458]), 'rank_test_score': array([3, 2, 3, 3, 1], dtype=int32), 'split0_train_score': array([1., 0., 1., 1., 1.]), 'split1_train_score': array([1., 0., 1., 1., 1.]), 'split2_train_score': array([1., 0., 1., 1., 1.]), 'split3_train_score': array([1., 0., 1., 1., 1.]), 'split4_train_score': array([1., 0., 1., 1., 1.]), 'mean_train_score': array([1., 0., 1., 1., 1.]), 'std_train_score': array([0., 0., 0., 0., 0.])}"
5,0.14505494505494504,"{'C': np.float64(728.8346335011063), 'gamma': 'scale', 'kernel': 'sigmoid'}","{'mean_fit_time': array([7.35156536e-02, 8.49394798e-03, 6.66990280e-03, 1.74214840e-01,
       1.80686853e+02]), 'std_fit_time': array([1.22477617e-02, 7.17059474e-04, 1.83581358e-03, 1.21578391e-01,
       5.83039041e+01]), 'mean_score_time': array([0.03526454, 0.00918245, 0.00922341, 0.00865707, 0.00313158]), 'std_score_time': array([3.10144305e-03, 1.06741319e-03, 4.84314593e-03, 1.20001617e-03,
       8.98209081e-05]), 'param_C': masked_array(data=[113.58847189364951, 728.8346335011063,
                   707.705138259081, 645.6618545082925, 706.1310112730092],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=[np.float64(54.84456796631082), 'scale',
                   np.float64(54.84456796631082),
                   np.float64(54.84456796631082),
                   np.float64(20.38765783620007)],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'param_kernel': masked_array(data=['rbf', 'sigmoid', 'sigmoid', 'poly', 'linear'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(113.58847189364951), 'gamma': np.float64(54.84456796631082), 'kernel': 'rbf'}, {'C': np.float64(728.8346335011063), 'gamma': 'scale', 'kernel': 'sigmoid'}, {'C': np.float64(707.705138259081), 'gamma': np.float64(54.84456796631082), 'kernel': 'sigmoid'}, {'C': np.float64(645.6618545082925), 'gamma': np.float64(54.84456796631082), 'kernel': 'poly'}, {'C': np.float64(706.1310112730092), 'gamma': np.float64(20.38765783620007), 'kernel': 'linear'}], 'split0_test_score': array([0.  , 0.  , 0.  , 0.25, 0.  ]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0.        , 0.28571429, 0.25      , 0.        , 0.        ]), 'split3_test_score': array([0.        , 0.15384615, 0.        , 0.        , 0.        ]), 'split4_test_score': array([0.        , 0.28571429, 0.        , 0.0625    , 0.        ]), 'mean_test_score': array([0.        , 0.14505495, 0.05      , 0.0625    , 0.        ]), 'std_test_score': array([0.        , 0.1278509 , 0.1       , 0.09682458, 0.        ]), 'rank_test_score': array([4, 1, 3, 2, 4], dtype=int32), 'split0_train_score': array([1.        , 0.11764706, 0.        , 1.        , 0.        ]), 'split1_train_score': array([1.        , 0.11764706, 0.        , 1.        , 0.        ]), 'split2_train_score': array([1.    , 0.0625, 0.    , 1.    , 0.    ]), 'split3_train_score': array([1., 0., 0., 1., 0.]), 'split4_train_score': array([1., 0., 0., 1., 0.]), 'mean_train_score': array([1.        , 0.05955882, 0.        , 1.        , 0.        ]), 'std_train_score': array([0.        , 0.05263391, 0.        , 0.        , 0.        ])}"
6,0.0841025641025641,"{'C': np.float64(284.96116747391835), 'gamma': 'scale', 'kernel': 'poly'}","{'mean_fit_time': array([0.01300926, 0.00896988, 0.00768118, 0.00405869, 0.02686095]), 'std_fit_time': array([0.00899579, 0.00070103, 0.00180627, 0.00091474, 0.00547857]), 'mean_score_time': array([0.00437369, 0.00312986, 0.00448575, 0.00416503, 0.01300254]), 'std_score_time': array([0.00021974, 0.00025517, 0.00104249, 0.00101012, 0.00037174]), 'param_C': masked_array(data=[17.59027093115263, 284.96116747391835,
                   792.1342606554294, 479.66791853541605,
                   452.06242151537526],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=['auto', 'scale', 'scale',
                   np.float64(36.45056830322477),
                   np.float64(20.38765783620007)],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'param_kernel': masked_array(data=['rbf', 'poly', 'rbf', 'sigmoid', 'rbf'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(17.59027093115263), 'gamma': 'auto', 'kernel': 'rbf'}, {'C': np.float64(284.96116747391835), 'gamma': 'scale', 'kernel': 'poly'}, {'C': np.float64(792.1342606554294), 'gamma': 'scale', 'kernel': 'rbf'}, {'C': np.float64(479.66791853541605), 'gamma': np.float64(36.45056830322477), 'kernel': 'sigmoid'}, {'C': np.float64(452.06242151537526), 'gamma': np.float64(20.38765783620007), 'kernel': 'rbf'}], 'split0_test_score': array([0.        , 0.26666667, 0.        , 0.        , 0.        ]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0.        , 0.15384615, 0.        , 0.        , 0.        ]), 'split4_test_score': array([0.        , 0.        , 0.        , 0.28571429, 0.        ]), 'mean_test_score': array([0.        , 0.08410256, 0.        , 0.05714286, 0.        ]), 'std_test_score': array([0.        , 0.10900784, 0.        , 0.11428571, 0.        ]), 'rank_test_score': array([3, 1, 3, 2, 3], dtype=int32), 'split0_train_score': array([0.83870968, 0.97142857, 1.        , 0.        , 1.        ]), 'split1_train_score': array([0.83870968, 0.94117647, 0.97142857, 0.        , 1.        ]), 'split2_train_score': array([0.78571429, 0.9375    , 0.96969697, 0.        , 1.        ]), 'split3_train_score': array([0.86666667, 0.9375    , 0.96969697, 0.05882353, 1.        ]), 'split4_train_score': array([0.875     , 0.97142857, 0.97142857, 0.        , 1.        ]), 'mean_train_score': array([0.84096006, 0.95180672, 0.97645022, 0.01176471, 1.        ]), 'std_train_score': array([0.03124667, 0.01607732, 0.01180033, 0.02352941, 0.        ])}"
7,0.08969696969696969,"{'C': np.float64(210.52383598676585), 'gamma': 'scale', 'kernel': 'poly'}","{'mean_fit_time': array([1.66156030e+02, 5.56055069e-02, 1.11248970e-02, 1.23271465e-02,
       4.09793854e-03]), 'std_fit_time': array([3.91846889e+01, 2.80420214e-02, 2.25169322e-03, 3.21226370e-03,
       3.65869573e-04]), 'mean_score_time': array([0.00674367, 0.02276568, 0.00318375, 0.00403423, 0.00432887]), 'std_score_time': array([0.0008338 , 0.00478761, 0.0004698 , 0.0006701 , 0.00036947]), 'param_C': masked_array(data=[301.0644558559146, 926.4351350591756, 683.376759974987,
                   210.52383598676585, 896.3301009569733],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=[np.float64(29.739875792037697),
                   np.float64(87.5801368915047), 'auto', 'scale',
                   np.float64(36.45056830322477)],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'param_kernel': masked_array(data=['linear', 'rbf', 'poly', 'poly', 'sigmoid'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(301.0644558559146), 'gamma': np.float64(29.739875792037697), 'kernel': 'linear'}, {'C': np.float64(926.4351350591756), 'gamma': np.float64(87.5801368915047), 'kernel': 'rbf'}, {'C': np.float64(683.376759974987), 'gamma': 'auto', 'kernel': 'poly'}, {'C': np.float64(210.52383598676585), 'gamma': 'scale', 'kernel': 'poly'}, {'C': np.float64(896.3301009569733), 'gamma': np.float64(36.45056830322477), 'kernel': 'sigmoid'}], 'split0_test_score': array([0.        , 0.        , 0.30769231, 0.26666667, 0.        ]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0.        , 0.        , 0.125     , 0.18181818, 0.        ]), 'split4_test_score': array([0.        , 0.        , 0.        , 0.        , 0.28571429]), 'mean_test_score': array([0.        , 0.        , 0.08653846, 0.08969697, 0.05714286]), 'std_test_score': array([0.        , 0.        , 0.12071042, 0.11308513, 0.11428571]), 'rank_test_score': array([4, 4, 2, 1, 3], dtype=int32), 'split0_train_score': array([0.        , 1.        , 1.        , 0.97142857, 0.        ]), 'split1_train_score': array([0.        , 1.        , 0.97142857, 0.90909091, 0.        ]), 'split2_train_score': array([0.        , 1.        , 0.96969697, 0.90322581, 0.        ]), 'split3_train_score': array([0.        , 1.        , 0.96969697, 0.9375    , 0.05882353]), 'split4_train_score': array([0.        , 1.        , 0.97142857, 0.97142857, 0.        ]), 'mean_train_score': array([0.        , 1.        , 0.97645022, 0.93853477, 0.01176471]), 'std_train_score': array([0.        , 0.        , 0.01180033, 0.02925317, 0.02352941])}"
8,0.0625,"{'C': np.float64(255.57392375721133), 'gamma': np.float64(96.20002415974872), 'kernel': 'poly'}","{'mean_fit_time': array([2.60987693e+02, 1.64530516e-01, 2.34076435e+02, 7.07273483e-03,
       7.48345852e-02]), 'std_fit_time': array([4.98980485e+01, 1.01957233e-01, 3.54687752e+01, 3.67510818e-04,
       3.56741729e-03]), 'mean_score_time': array([0.00445452, 0.01107993, 0.00501046, 0.00724092, 0.03858714]), 'std_score_time': array([0.00105247, 0.00655276, 0.00161926, 0.0008928 , 0.00328348]), 'param_C': masked_array(data=[494.70164553802147, 255.57392375721133,
                   377.41509769112406, 408.2972003331971,
                   325.297304114769],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=[20.38765783620007, 96.20002415974872,
                   36.45056830322477, 71.4718144238042, 82.59271635562955],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_kernel': masked_array(data=['linear', 'poly', 'linear', 'sigmoid', 'rbf'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(494.70164553802147), 'gamma': np.float64(20.38765783620007), 'kernel': 'linear'}, {'C': np.float64(255.57392375721133), 'gamma': np.float64(96.20002415974872), 'kernel': 'poly'}, {'C': np.float64(377.41509769112406), 'gamma': np.float64(36.45056830322477), 'kernel': 'linear'}, {'C': np.float64(408.2972003331971), 'gamma': np.float64(71.4718144238042), 'kernel': 'sigmoid'}, {'C': np.float64(325.297304114769), 'gamma': np.float64(82.59271635562955), 'kernel': 'rbf'}], 'split0_test_score': array([0.  , 0.25, 0.  , 0.  , 0.  ]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0.        , 0.0625    , 0.        , 0.28571429, 0.        ]), 'mean_test_score': array([0.        , 0.0625    , 0.        , 0.05714286, 0.        ]), 'std_test_score': array([0.        , 0.09682458, 0.        , 0.11428571, 0.        ]), 'rank_test_score': array([3, 1, 3, 2, 3], dtype=int32), 'split0_train_score': array([0., 1., 0., 0., 1.]), 'split1_train_score': array([0., 1., 0., 0., 1.]), 'split2_train_score': array([0., 1., 0., 0., 1.]), 'split3_train_score': array([0., 1., 0., 0., 1.]), 'split4_train_score': array([0., 1., 0., 0., 1.]), 'mean_train_score': array([0., 1., 0., 0., 1.]), 'std_train_score': array([0., 0., 0., 0., 0.])}"
9,0.0,"{'C': np.float64(675.8314155035523), 'gamma': np.float64(92.5863400409626), 'kernel': 'rbf'}","{'mean_fit_time': array([3.62166882e-02, 1.17415051e+02, 1.05965896e+02, 3.53117943e-02,
       3.47665787e-02]), 'std_fit_time': array([3.79061481e-03, 2.17991485e+01, 2.62907652e+01, 1.32494509e-03,
       1.96017792e-03]), 'mean_score_time': array([0.01878476, 0.00298305, 0.00363674, 0.018507  , 0.01989312]), 'std_score_time': array([0.00126173, 0.00070254, 0.00101262, 0.00144916, 0.00291495]), 'param_C': masked_array(data=[675.8314155035523, 343.40367254259235,
                   284.3129987402895, 157.77016877376394,
                   590.0936764723144],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_gamma': masked_array(data=[np.float64(92.5863400409626), 'scale',
                   np.float64(18.059431965634634),
                   np.float64(92.5863400409626),
                   np.float64(96.20002415974872)],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'param_kernel': masked_array(data=['rbf', 'linear', 'linear', 'rbf', 'rbf'],
             mask=[False, False, False, False, False],
       fill_value=np.str_('?'),
            dtype=object), 'params': [{'C': np.float64(675.8314155035523), 'gamma': np.float64(92.5863400409626), 'kernel': 'rbf'}, {'C': np.float64(343.40367254259235), 'gamma': 'scale', 'kernel': 'linear'}, {'C': np.float64(284.3129987402895), 'gamma': np.float64(18.059431965634634), 'kernel': 'linear'}, {'C': np.float64(157.77016877376394), 'gamma': np.float64(92.5863400409626), 'kernel': 'rbf'}, {'C': np.float64(590.0936764723144), 'gamma': np.float64(96.20002415974872), 'kernel': 'rbf'}], 'split0_test_score': array([0., 0., 0., 0., 0.]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0., 0., 0., 0., 0.]), 'mean_test_score': array([0., 0., 0., 0., 0.]), 'std_test_score': array([0., 0., 0., 0., 0.]), 'rank_test_score': array([1, 1, 1, 1, 1], dtype=int32), 'split0_train_score': array([1., 0., 0., 1., 1.]), 'split1_train_score': array([1., 0., 0., 1., 1.]), 'split2_train_score': array([1., 0., 0., 1., 1.]), 'split3_train_score': array([1., 0., 0., 1., 1.]), 'split4_train_score': array([1., 0., 0., 1., 1.]), 'mean_train_score': array([1., 0., 0., 1., 1.]), 'std_train_score': array([0., 0., 0., 0., 0.])}"
