search_idx,best_score,best_params,cv_results
0,0.11440535056095698,"{'learning_rate': np.float64(0.15701864044243652), 'n_epochs': 516, 'prototypes_per_class': 87}","{'mean_fit_time': array([134.66336112, 123.31422148, 115.87575173,  22.59789782,
        32.09035134]), 'std_fit_time': array([3.6240559 , 4.51493546, 2.49418125, 1.30709817, 1.31624209]), 'mean_score_time': array([0.02192707, 0.02966323, 0.05423932, 0.03758364, 0.01342974]), 'std_score_time': array([0.00373415, 0.00455612, 0.01051709, 0.00792257, 0.00090331]), 'param_learning_rate': masked_array(data=[0.3755401188473625, 0.7329939418114051,
                   0.15701864044243652, 0.05908361216819946,
                   0.6518884729488529],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[910, 750, 516, 137, 358],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[15, 21, 87, 24, 2],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.3755401188473625), 'n_epochs': 910, 'prototypes_per_class': 15}, {'learning_rate': np.float64(0.7329939418114051), 'n_epochs': 750, 'prototypes_per_class': 21}, {'learning_rate': np.float64(0.15701864044243652), 'n_epochs': 516, 'prototypes_per_class': 87}, {'learning_rate': np.float64(0.05908361216819946), 'n_epochs': 137, 'prototypes_per_class': 24}, {'learning_rate': np.float64(0.6518884729488529), 'n_epochs': 358, 'prototypes_per_class': 2}], 'split0_test_score': array([0.        , 0.        , 0.07894737, 0.        , 0.        ]), 'split1_test_score': array([0.        , 0.        , 0.09230769, 0.06349206, 0.        ]), 'split2_test_score': array([0.        , 0.        , 0.1       , 0.07142857, 0.        ]), 'split3_test_score': array([0.        , 0.        , 0.15584416, 0.06060606, 0.        ]), 'split4_test_score': array([0.        , 0.        , 0.14492754, 0.06779661, 0.        ]), 'mean_test_score': array([0.        , 0.        , 0.11440535, 0.05266466, 0.        ]), 'std_test_score': array([0.        , 0.        , 0.03033766, 0.02658919, 0.        ]), 'rank_test_score': array([3, 3, 1, 2, 3], dtype=int32), 'split0_train_score': array([0.02259887, 0.        , 0.50184502, 0.19704433, 0.        ]), 'split1_train_score': array([0.        , 0.        , 0.44360902, 0.23364486, 0.        ]), 'split2_train_score': array([0.        , 0.        , 0.47286822, 0.22966507, 0.        ]), 'split3_train_score': array([0.        , 0.        , 0.49811321, 0.26168224, 0.        ]), 'split4_train_score': array([0.02259887, 0.        , 0.39506173, 0.20588235, 0.        ]), 'mean_train_score': array([0.00903955, 0.        , 0.46229944, 0.22558377, 0.        ]), 'std_train_score': array([0.01107114, 0.        , 0.03956872, 0.02274811, 0.        ])}"
1,0.11115404519579093,"{'learning_rate': np.float64(0.11605456638977896), 'n_epochs': 305, 'prototypes_per_class': 50}","{'mean_fit_time': array([ 61.78081045,  13.21611829, 176.12064524, 169.8416863 ,
        98.07375069]), 'std_fit_time': array([3.10302202, 2.0028185 , 1.80462756, 2.77349021, 3.04658202]), 'mean_score_time': array([0.03807425, 0.04316387, 0.02570472, 0.02419086, 0.04312372]), 'std_score_time': array([0.00186649, 0.00759317, 0.00450986, 0.00596321, 0.00527663]), 'param_learning_rate': masked_array(data=[0.11605456638977896, 0.13439096418598828,
                   0.3281390558111398, 0.6670902130980257,
                   0.030013824424360402],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[305, 66, 909, 905, 484],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[50, 52, 67, 65, 76],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.11605456638977896), 'n_epochs': 305, 'prototypes_per_class': 50}, {'learning_rate': np.float64(0.13439096418598828), 'n_epochs': 66, 'prototypes_per_class': 52}, {'learning_rate': np.float64(0.3281390558111398), 'n_epochs': 909, 'prototypes_per_class': 67}, {'learning_rate': np.float64(0.6670902130980257), 'n_epochs': 905, 'prototypes_per_class': 65}, {'learning_rate': np.float64(0.030013824424360402), 'n_epochs': 484, 'prototypes_per_class': 76}], 'split0_test_score': array([0.11428571, 0.08955224, 0.11320755, 0.        , 0.10619469]), 'split1_test_score': array([0.10909091, 0.09230769, 0.        , 0.        , 0.08510638]), 'split2_test_score': array([0.12903226, 0.09090909, 0.03846154, 0.        , 0.06896552]), 'split3_test_score': array([0.08571429, 0.15384615, 0.07843137, 0.        , 0.1372549 ]), 'split4_test_score': array([0.11764706, 0.06557377, 0.        , 0.        , 0.06060606]), 'mean_test_score': array([0.11115405, 0.09843779, 0.04602009, 0.        , 0.09162551]), 'std_test_score': array([0.01430409, 0.02940525, 0.04440152, 0.        , 0.02761334]), 'rank_test_score': array([1, 2, 4, 5, 3], dtype=int32), 'split0_train_score': array([0.38793103, 0.38818565, 0.23696682, 0.        , 0.61805556]), 'split1_train_score': array([0.39166667, 0.37130802, 0.16243655, 0.        , 0.54861111]), 'split2_train_score': array([0.34977578, 0.36440678, 0.23188406, 0.        , 0.58741259]), 'split3_train_score': array([0.37037037, 0.38367347, 0.20100503, 0.        , 0.5631769 ]), 'split4_train_score': array([0.34126984, 0.31858407, 0.10638298, 0.        , 0.54135338]), 'mean_train_score': array([0.36820274, 0.3652316 , 0.18773509, 0.        , 0.57172191]), 'std_train_score': array([0.02004691, 0.02482171, 0.04859459, 0.        , 0.02800849])}"
2,0.0,"{'learning_rate': np.float64(0.8358421486656494), 'n_epochs': 803, 'prototypes_per_class': 46}","{'mean_fit_time': array([119.73585348,  31.74645443,  27.54321828,  89.01565933,
        50.95728903]), 'std_fit_time': array([0.63171303, 1.60892847, 1.38779108, 3.48268872, 0.3669055 ]), 'mean_score_time': array([0.01898293, 0.04674668, 0.03399429, 0.02530513, 0.03813996]), 'std_score_time': array([0.00219696, 0.00189422, 0.00172811, 0.00290745, 0.00613537]), 'param_learning_rate': masked_array(data=[0.8358421486656494, 0.7456404816795178,
                   0.36031083780807194, 0.680925035007839,
                   0.9178423914175331],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[803, 146, 170, 523, 277],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[46, 85, 24, 68, 58],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.8358421486656494), 'n_epochs': 803, 'prototypes_per_class': 46}, {'learning_rate': np.float64(0.7456404816795178), 'n_epochs': 146, 'prototypes_per_class': 85}, {'learning_rate': np.float64(0.36031083780807194), 'n_epochs': 170, 'prototypes_per_class': 24}, {'learning_rate': np.float64(0.680925035007839), 'n_epochs': 523, 'prototypes_per_class': 68}, {'learning_rate': np.float64(0.9178423914175331), 'n_epochs': 277, 'prototypes_per_class': 58}], 'split0_test_score': array([0., 0., 0., 0., 0.]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0., 0., 0., 0., 0.]), 'mean_test_score': array([0., 0., 0., 0., 0.]), 'std_test_score': array([0., 0., 0., 0., 0.]), 'rank_test_score': array([1, 1, 1, 1, 1], dtype=int32), 'split0_train_score': array([0.        , 0.        , 0.04469274, 0.        , 0.        ]), 'split1_train_score': array([0.        , 0.        , 0.02247191, 0.        , 0.        ]), 'split2_train_score': array([0.        , 0.        , 0.01136364, 0.        , 0.        ]), 'split3_train_score': array([0.        , 0.        , 0.02259887, 0.        , 0.        ]), 'split4_train_score': array([0.        , 0.        , 0.01136364, 0.        , 0.        ]), 'mean_train_score': array([0.        , 0.        , 0.02249816, 0.        , 0.        ]), 'std_train_score': array([0.        , 0.        , 0.01217017, 0.        , 0.        ])}"
3,0.11318820099959655,"{'learning_rate': np.float64(0.058237592543599614), 'n_epochs': 265, 'prototypes_per_class': 47}","{'mean_fit_time': array([107.98971786, 122.86734896, 101.74802794,  54.82919989,
        34.25984478]), 'std_fit_time': array([2.02543444, 2.75812947, 2.02085328, 9.99996642, 0.84222017]), 'mean_score_time': array([0.03235898, 0.02949347, 0.03149133, 0.02429299, 0.0204206 ]), 'std_score_time': array([0.00053896, 0.0052271 , 0.00071187, 0.00735747, 0.0029287 ]), 'param_learning_rate': masked_array(data=[0.9900115134756001, 0.421138493756127,
                   0.9156405642688867, 0.7206771067628596,
                   0.058237592543599614],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[693, 775, 682, 359, 265],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[33, 36, 16, 58, 47],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.9900115134756001), 'n_epochs': 693, 'prototypes_per_class': 33}, {'learning_rate': np.float64(0.421138493756127), 'n_epochs': 775, 'prototypes_per_class': 36}, {'learning_rate': np.float64(0.9156405642688867), 'n_epochs': 682, 'prototypes_per_class': 16}, {'learning_rate': np.float64(0.7206771067628596), 'n_epochs': 359, 'prototypes_per_class': 58}, {'learning_rate': np.float64(0.058237592543599614), 'n_epochs': 265, 'prototypes_per_class': 47}], 'split0_test_score': array([0.       , 0.       , 0.       , 0.       , 0.1025641]), 'split1_test_score': array([0.        , 0.        , 0.        , 0.        , 0.11111111]), 'split2_test_score': array([0.        , 0.        , 0.        , 0.        , 0.12658228]), 'split3_test_score': array([0.        , 0.        , 0.        , 0.        , 0.14117647]), 'split4_test_score': array([0.        , 0.        , 0.        , 0.        , 0.08450704]), 'mean_test_score': array([0.       , 0.       , 0.       , 0.       , 0.1131882]), 'std_test_score': array([0.        , 0.        , 0.        , 0.        , 0.01950661]), 'rank_test_score': array([2, 2, 2, 2, 1], dtype=int32), 'split0_train_score': array([0.        , 0.03370787, 0.        , 0.        , 0.43801653]), 'split1_train_score': array([0.        , 0.01129944, 0.        , 0.        , 0.43824701]), 'split2_train_score': array([0.        , 0.04444444, 0.        , 0.        , 0.41350211]), 'split3_train_score': array([0.        , 0.01123596, 0.        , 0.        , 0.44262295]), 'split4_train_score': array([0. , 0. , 0. , 0. , 0.4]), 'mean_train_score': array([0.        , 0.02013754, 0.        , 0.        , 0.42647772]), 'std_train_score': array([0.        , 0.01635757, 0.        , 0.        , 0.01674374])}"
4,0.04001883830455259,"{'learning_rate': np.float64(0.45600391892677883), 'n_epochs': 109, 'prototypes_per_class': 80}","{'mean_fit_time': array([119.67887783, 162.43922133, 110.52723346, 113.53645763,
        23.18230977]), 'std_fit_time': array([ 3.68967182,  2.92796777,  3.42947264, 20.81505002,  0.25424703]), 'mean_score_time': array([0.04440126, 0.02672558, 0.02706194, 0.02021341, 0.04441667]), 'std_score_time': array([0.00451719, 0.00189197, 0.00209939, 0.00191207, 0.00415452]), 'param_learning_rate': masked_array(data=[0.7848323508057506, 0.9183398968434026,
                   0.9906863247248333, 0.44186720342980446,
                   0.45600391892677883],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[602, 765, 797, 849, 109],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[59, 94, 3, 56, 80],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.7848323508057506), 'n_epochs': 602, 'prototypes_per_class': 59}, {'learning_rate': np.float64(0.9183398968434026), 'n_epochs': 765, 'prototypes_per_class': 94}, {'learning_rate': np.float64(0.9906863247248333), 'n_epochs': 797, 'prototypes_per_class': 3}, {'learning_rate': np.float64(0.44186720342980446), 'n_epochs': 849, 'prototypes_per_class': 56}, {'learning_rate': np.float64(0.45600391892677883), 'n_epochs': 109, 'prototypes_per_class': 80}], 'split0_test_score': array([0.        , 0.        , 0.        , 0.        , 0.03846154]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0.        , 0.        , 0.        , 0.        , 0.08163265]), 'split3_test_score': array([0.  , 0.  , 0.  , 0.  , 0.08]), 'split4_test_score': array([0., 0., 0., 0., 0.]), 'mean_test_score': array([0.        , 0.        , 0.        , 0.        , 0.04001884]), 'std_test_score': array([0.        , 0.        , 0.        , 0.        , 0.03615423]), 'rank_test_score': array([2, 2, 2, 2, 1], dtype=int32), 'split0_train_score': array([0.        , 0.        , 0.        , 0.08602151, 0.1980198 ]), 'split1_train_score': array([0.        , 0.        , 0.        , 0.04444444, 0.13471503]), 'split2_train_score': array([0.        , 0.        , 0.        , 0.05555556, 0.12698413]), 'split3_train_score': array([0.        , 0.        , 0.        , 0.01136364, 0.13541667]), 'split4_train_score': array([0.       , 0.       , 0.       , 0.       , 0.0972973]), 'mean_train_score': array([0.        , 0.        , 0.        , 0.03947703, 0.13848658]), 'std_train_score': array([0.        , 0.        , 0.        , 0.03097864, 0.03285336])}"
5,0.04711998064828253,"{'learning_rate': np.float64(0.11448847189364952), 'n_epochs': 377, 'prototypes_per_class': 9}","{'mean_fit_time': array([ 51.25752811, 135.98607821, 166.44131479, 143.19081817,
        80.30164199]), 'std_fit_time': array([ 2.42105186,  5.07769155,  3.14418458,  6.99695816, 13.82024424]), 'mean_score_time': array([0.03191805, 0.03368468, 0.02932386, 0.02507644, 0.02529392]), 'std_score_time': array([0.00701134, 0.00298895, 0.00375414, 0.00653549, 0.0075582 ]), 'param_learning_rate': masked_array(data=[0.11448847189364952, 0.7297346335011062,
                   0.708605138259081, 0.6465618545082925,
                   0.7070310112730092],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[377, 898, 825, 873, 541],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[9, 24, 72, 51, 66],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.11448847189364952), 'n_epochs': 377, 'prototypes_per_class': 9}, {'learning_rate': np.float64(0.7297346335011062), 'n_epochs': 898, 'prototypes_per_class': 24}, {'learning_rate': np.float64(0.708605138259081), 'n_epochs': 825, 'prototypes_per_class': 72}, {'learning_rate': np.float64(0.6465618545082925), 'n_epochs': 873, 'prototypes_per_class': 51}, {'learning_rate': np.float64(0.7070310112730092), 'n_epochs': 541, 'prototypes_per_class': 66}], 'split0_test_score': array([0.0754717, 0.       , 0.       , 0.       , 0.       ]), 'split1_test_score': array([0.08, 0.  , 0.  , 0.  , 0.  ]), 'split2_test_score': array([0., 0., 0., 0., 0.]), 'split3_test_score': array([0.04166667, 0.        , 0.        , 0.        , 0.        ]), 'split4_test_score': array([0.03846154, 0.        , 0.        , 0.        , 0.        ]), 'mean_test_score': array([0.04711998, 0.        , 0.        , 0.        , 0.        ]), 'std_test_score': array([0.02901694, 0.        , 0.        , 0.        , 0.        ]), 'rank_test_score': array([1, 2, 2, 2, 2], dtype=int32), 'split0_train_score': array([0.10362694, 0.        , 0.        , 0.        , 0.        ]), 'split1_train_score': array([0.07329843, 0.        , 0.        , 0.        , 0.        ]), 'split2_train_score': array([0.08648649, 0.        , 0.        , 0.        , 0.        ]), 'split3_train_score': array([0.13265306, 0.        , 0.        , 0.        , 0.        ]), 'split4_train_score': array([0.10471204, 0.        , 0.        , 0.        , 0.        ]), 'mean_train_score': array([0.10015539, 0.        , 0.        , 0.        , 0.        ]), 'std_train_score': array([0.01998524, 0.        , 0.        , 0.        , 0.        ])}"
6,0.10365950824774353,"{'learning_rate': np.float64(0.01849027093115263), 'n_epochs': 387, 'prototypes_per_class': 69}","{'mean_fit_time': array([ 84.96177211, 155.0947464 ,  84.01202593,  11.96411538,
       139.1573163 ]), 'std_fit_time': array([2.22006806, 2.22881064, 2.16157073, 0.49731329, 4.07677666]), 'mean_score_time': array([0.04201493, 0.02650871, 0.04861689, 0.05263658, 0.02320361]), 'std_score_time': array([0.00442665, 0.00187542, 0.00579924, 0.01414174, 0.0004762 ]), 'param_learning_rate': masked_array(data=[0.01849027093115263, 0.2858611674739183,
                   0.7930342606554294, 0.8657103866902583,
                   0.5492299063500942],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[387, 882, 398, 56, 994],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[69, 71, 81, 87, 92],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.01849027093115263), 'n_epochs': 387, 'prototypes_per_class': 69}, {'learning_rate': np.float64(0.2858611674739183), 'n_epochs': 882, 'prototypes_per_class': 71}, {'learning_rate': np.float64(0.7930342606554294), 'n_epochs': 398, 'prototypes_per_class': 81}, {'learning_rate': np.float64(0.8657103866902583), 'n_epochs': 56, 'prototypes_per_class': 87}, {'learning_rate': np.float64(0.5492299063500942), 'n_epochs': 994, 'prototypes_per_class': 92}], 'split0_test_score': array([0.08      , 0.14285714, 0.        , 0.        , 0.        ]), 'split1_test_score': array([0.11363636, 0.03921569, 0.        , 0.        , 0.        ]), 'split2_test_score': array([0.08080808, 0.03773585, 0.        , 0.04444444, 0.        ]), 'split3_test_score': array([0.1512605 , 0.1       , 0.        , 0.04255319, 0.        ]), 'split4_test_score': array([0.09259259, 0.03773585, 0.        , 0.        , 0.        ]), 'mean_test_score': array([0.10365951, 0.07150891, 0.        , 0.01739953, 0.        ]), 'std_test_score': array([0.02672014, 0.04295673, 0.        , 0.02131837, 0.        ]), 'rank_test_score': array([1, 2, 4, 3, 4], dtype=int32), 'split0_train_score': array([0.61254613, 0.25806452, 0.        , 0.        , 0.04444444]), 'split1_train_score': array([0.51711027, 0.24880383, 0.        , 0.01117318, 0.01129944]), 'split2_train_score': array([0.52830189, 0.25592417, 0.        , 0.        , 0.03370787]), 'split3_train_score': array([0.55395683, 0.29223744, 0.        , 0.01081081, 0.        ]), 'split4_train_score': array([0.57246377, 0.24038462, 0.        , 0.        , 0.        ]), 'mean_train_score': array([0.55687578, 0.25908291, 0.        , 0.0043968 , 0.01789035]), 'std_train_score': array([0.0339071 , 0.01769477, 0.        , 0.00538618, 0.0181046 ])}"
7,0.09349918683856977,"{'learning_rate': np.float64(0.19521571412387062), 'n_epochs': 958, 'prototypes_per_class': 70}","{'mean_fit_time': array([ 91.90484242, 197.26996937, 177.24439821, 150.06335568,
        95.55628357]), 'std_fit_time': array([ 4.33647639,  4.69745843,  5.80182845,  9.32334273, 14.29659016]), 'mean_score_time': array([0.03784618, 0.03249106, 0.03824143, 0.03509684, 0.01599231]), 'std_score_time': array([0.00136599, 0.00470223, 0.00410876, 0.00759691, 0.00506386]), 'param_learning_rate': masked_array(data=[0.3019644558559146, 0.19521571412387062,
                   0.3200440875804771, 0.7407398070277559,
                   0.8386974679248786],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[474, 958, 942, 702, 972],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[55, 70, 50, 97, 7],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.3019644558559146), 'n_epochs': 474, 'prototypes_per_class': 55}, {'learning_rate': np.float64(0.19521571412387062), 'n_epochs': 958, 'prototypes_per_class': 70}, {'learning_rate': np.float64(0.3200440875804771), 'n_epochs': 942, 'prototypes_per_class': 50}, {'learning_rate': np.float64(0.7407398070277559), 'n_epochs': 702, 'prototypes_per_class': 97}, {'learning_rate': np.float64(0.8386974679248786), 'n_epochs': 972, 'prototypes_per_class': 7}], 'split0_test_score': array([0.03703704, 0.12121212, 0.04      , 0.        , 0.        ]), 'split1_test_score': array([0.        , 0.10714286, 0.        , 0.        , 0.        ]), 'split2_test_score': array([0.08      , 0.06896552, 0.0754717 , 0.        , 0.        ]), 'split3_test_score': array([0.07407407, 0.07017544, 0.08333333, 0.        , 0.        ]), 'split4_test_score': array([0.10909091, 0.1       , 0.        , 0.        , 0.        ]), 'mean_test_score': array([0.0600404 , 0.09349919, 0.03976101, 0.        , 0.        ]), 'std_test_score': array([0.03777641, 0.02069935, 0.035597  , 0.        , 0.        ]), 'rank_test_score': array([2, 1, 3, 4, 4], dtype=int32), 'split0_train_score': array([0.20487805, 0.375     , 0.21153846, 0.        , 0.        ]), 'split1_train_score': array([0.21800948, 0.36123348, 0.11518325, 0.        , 0.        ]), 'split2_train_score': array([0.20512821, 0.36206897, 0.17      , 0.        , 0.        ]), 'split3_train_score': array([0.14583333, 0.41666667, 0.09473684, 0.        , 0.        ]), 'split4_train_score': array([0.16243655, 0.34210526, 0.11578947, 0.        , 0.        ]), 'mean_train_score': array([0.18725712, 0.37141488, 0.1414496 , 0.        , 0.        ]), 'std_train_score': array([0.02795558, 0.02494249, 0.04303027, 0.        , 0.        ])}"
8,0.008695652173913044,"{'learning_rate': np.float64(0.6109381327355646), 'n_epochs': 120, 'prototypes_per_class': 71}","{'mean_fit_time': array([119.93557105,  23.63228583,  24.6293036 ,  22.90508575,
       134.37755513]), 'std_fit_time': array([0.53484384, 1.29756463, 1.32366777, 1.35984314, 0.29897288]), 'mean_score_time': array([0.02197275, 0.04256349, 0.02584987, 0.03591065, 0.02318249]), 'std_score_time': array([0.00285386, 0.00191141, 0.00118569, 0.00899802, 0.00031663]), 'param_learning_rate': masked_array(data=[0.49560164553802144, 0.6109381327355646,
                   0.9975742301546493, 0.7728939948397135,
                   0.44030505474314985],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[957, 120, 183, 121, 910],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[34, 71, 3, 69, 92],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.49560164553802144), 'n_epochs': 957, 'prototypes_per_class': 34}, {'learning_rate': np.float64(0.6109381327355646), 'n_epochs': 120, 'prototypes_per_class': 71}, {'learning_rate': np.float64(0.9975742301546493), 'n_epochs': 183, 'prototypes_per_class': 3}, {'learning_rate': np.float64(0.7728939948397135), 'n_epochs': 121, 'prototypes_per_class': 69}, {'learning_rate': np.float64(0.44030505474314985), 'n_epochs': 910, 'prototypes_per_class': 92}], 'split0_test_score': array([0.        , 0.        , 0.        , 0.        , 0.04081633]), 'split1_test_score': array([0., 0., 0., 0., 0.]), 'split2_test_score': array([0.        , 0.04347826, 0.        , 0.        , 0.        ]), 'split3_test_score': array([0., 0., 0., 0., 0.]), 'split4_test_score': array([0., 0., 0., 0., 0.]), 'mean_test_score': array([0.        , 0.00869565, 0.        , 0.        , 0.00816327]), 'std_test_score': array([0.        , 0.0173913 , 0.        , 0.        , 0.01632653]), 'rank_test_score': array([3, 1, 3, 3, 2], dtype=int32), 'split0_train_score': array([0.02259887, 0.05555556, 0.        , 0.        , 0.18      ]), 'split1_train_score': array([0.        , 0.02247191, 0.        , 0.        , 0.09677419]), 'split2_train_score': array([0.        , 0.02247191, 0.        , 0.        , 0.12631579]), 'split3_train_score': array([0.        , 0.        , 0.        , 0.        , 0.07692308]), 'split4_train_score': array([0.        , 0.        , 0.        , 0.        , 0.07692308]), 'mean_train_score': array([0.00451977, 0.02009988, 0.        , 0.        , 0.11138723]), 'std_train_score': array([0.00903955, 0.02037826, 0.        , 0.        , 0.03878059])}"
9,0.08155299410734193,"{'learning_rate': np.float64(0.15867016877376394), 'n_epochs': 599, 'prototypes_per_class': 61}","{'mean_fit_time': array([115.65453334,  87.77692218,  66.38882165,  95.21438713,
       100.33846335]), 'std_fit_time': array([2.05413129, 2.69324012, 1.59986453, 9.05502644, 3.63229126]), 'mean_score_time': array([0.04220009, 0.03107638, 0.03525615, 0.02888265, 0.01803584]), 'std_score_time': array([0.00523054, 0.00082792, 0.00181215, 0.00541106, 0.00229385]), 'param_learning_rate': masked_array(data=[0.6767314155035523, 0.3443036725425923,
                   0.2852129987402895, 0.15867016877376394,
                   0.5909936764723144],
             mask=[False, False, False, False, False],
       fill_value=1e+20), 'param_n_epochs': masked_array(data=[535, 578, 411, 599, 902],
             mask=[False, False, False, False, False],
       fill_value=999999), 'param_prototypes_per_class': masked_array(data=[97, 22, 38, 61, 37],
             mask=[False, False, False, False, False],
       fill_value=999999), 'params': [{'learning_rate': np.float64(0.6767314155035523), 'n_epochs': 535, 'prototypes_per_class': 97}, {'learning_rate': np.float64(0.3443036725425923), 'n_epochs': 578, 'prototypes_per_class': 22}, {'learning_rate': np.float64(0.2852129987402895), 'n_epochs': 411, 'prototypes_per_class': 38}, {'learning_rate': np.float64(0.15867016877376394), 'n_epochs': 599, 'prototypes_per_class': 61}, {'learning_rate': np.float64(0.5909936764723144), 'n_epochs': 902, 'prototypes_per_class': 37}], 'split0_test_score': array([0.        , 0.        , 0.04255319, 0.05797101, 0.        ]), 'split1_test_score': array([0.        , 0.        , 0.        , 0.09230769, 0.        ]), 'split2_test_score': array([0.        , 0.        , 0.11111111, 0.09230769, 0.        ]), 'split3_test_score': array([0.        , 0.04444444, 0.11538462, 0.09375   , 0.        ]), 'split4_test_score': array([0.        , 0.        , 0.        , 0.07142857, 0.        ]), 'mean_test_score': array([0.        , 0.00888889, 0.05380978, 0.08155299, 0.        ]), 'std_test_score': array([0.        , 0.01777778, 0.05097568, 0.01441324, 0.        ]), 'rank_test_score': array([4, 3, 2, 1, 4], dtype=int32), 'split0_train_score': array([0.        , 0.05524862, 0.14659686, 0.37931034, 0.        ]), 'split1_train_score': array([0.        , 0.04324324, 0.10695187, 0.39534884, 0.        ]), 'split2_train_score': array([0.        , 0.01136364, 0.16504854, 0.3930131 , 0.        ]), 'split3_train_score': array([0.        , 0.02247191, 0.14583333, 0.39506173, 0.        ]), 'split4_train_score': array([0.        , 0.04469274, 0.05494505, 0.36842105, 0.        ]), 'mean_train_score': array([0.        , 0.03540403, 0.12387513, 0.38623101, 0.        ]), 'std_train_score': array([0.        , 0.01604195, 0.03932287, 0.01069769, 0.        ])}"
